        RA       DEC                     NAME      S1400    e_S1400    P1400  POLANG   e_P1400  e_POLANG       S74        e_S74     3CNAME         S600      P600      BETA     GAMMA
 180.08004  73.01269                 3C_268.1     6.6761   0.171305  0.07048   -19.5  0.000687       0.1     30.87     3.090000   3C_268.1    10.379273  0.023697 -0.520805  0.000000
  93.45562  26.07706                 3C_154.0     5.0000   0.166000  0.02069    85.8  0.000790       0.6     60.86     6.160000     3C_154    10.274254  0.003493 -0.850000  0.000000
  47.49900  17.09983                  3C_79.0     4.8665   0.149300  0.15711   -16.4  0.001860       0.1     61.71     6.220000     3C__79    10.118589  0.025761 -0.863922  0.000000
   6.45487 -26.03689            002549-260212     8.7533   0.262600  0.00935   -39.6  0.000460       0.9     14.17     1.440000       NONE    10.056773  0.006636 -0.163833  0.000000
  80.29137  16.63950    ICRF_J052109.8+163822     8.6029   0.258100  0.61898   -11.1  0.000500       0.0     14.63     1.590000     3C_138    10.025341  0.424162 -0.180594  0.000000
 121.40683  24.16025                 3C_192.0     5.2200   0.119654  0.30864   -38.2  0.003832       0.1     50.13     5.030000     3C_192    10.018138  0.061680 -0.769387  0.000000
 194.23908  47.33883                  2C_1066     5.0996   0.180200  0.08871     9.0  0.000420       0.1     51.76     5.270000     3C_280     9.944383  0.017043 -0.788207  0.000000
 298.05450   2.50731                 3C_403.0     5.2086   0.132608  0.20581   -68.0  0.001561       0.1     48.28     4.850000   3C_403.0     9.894754  0.042180 -0.757341  0.000000
 247.15975  39.55000                 3C_338.0     3.6787   0.123300 -0.00024     NaN  0.001660       NaN    112.38    11.310000   3C_338.0     9.854647 -0.000021 -1.162972  0.000000
 278.77908  32.70400                  2E_4097     5.4868   0.131189  0.22711   -56.3  0.002693       0.2     41.86     3.073760   3C_382.0     9.854459  0.053465 -0.691113  0.000000
 281.01017  45.55892                  2E_4125     5.5968   0.185400  0.03036   -27.6  0.000670       0.3     39.85     4.120000     3C_388     9.853953  0.007507 -0.667625  0.000000
 349.14662   4.08828                  2C_1883     4.6756   0.165200  0.10373    -5.3  0.000480       0.1     58.20     5.910000   3C_459.0     9.669852  0.017235 -0.857615  0.000000
 186.26575  12.87644                     M_84     6.0128   0.145056  0.40433    -4.3  0.002270       0.1     28.69     2.980000   3C_272.1     9.433039  0.132940 -0.531487  0.000000
 250.74487  39.81028                   3C_345     7.0986   0.213000  0.34928    85.7  0.000450       0.0     18.70     1.900000     3C_345     9.384288  0.175280 -0.329446  0.000000
 145.56396  13.76378                  3C_225B     4.6749   0.107871  0.03946    51.8  0.000594       0.2     51.25     4.129939    3C_225B     9.320894  0.007177 -0.814413  0.000000
 258.32987 -25.05639            171319-250323     7.2171   0.160751  0.53579    57.5  0.008563       0.2     17.36     2.180000       NONE     9.294230  0.286852 -0.298526  0.000000
 176.27179  19.61050                 NGC_3862     5.3216   0.130872  0.06369   -34.4  0.018361       0.6     35.45     3.550000   3C_264.0     9.191371  0.016513 -0.644981  0.000000
 357.72771  64.67186                 3C_468.1     4.9471   0.148400  0.00623   -48.7  0.000510       1.6     42.09     4.410000   3C_468.1     9.168730  0.001357 -0.728194  0.000000
 128.72879  55.57250            083454+553421     8.2831   0.248500  0.00852    54.1  0.000460       1.0     11.51     1.150000       NONE     9.106864  0.006741 -0.111898  0.000000
 309.65421  51.32031                 3C_418.0     6.0808   0.182400  0.02561   -19.9  0.000570       0.4     23.72     2.440000   3C_418.0     9.001603  0.009719 -0.462962  0.000000
 241.18871   1.29769                 3C_327.1     4.0753   0.122300  0.01495   -51.6  0.000500       0.6     63.50     6.350000   3C_327.1     8.991826  0.002117 -0.933995  0.000000
 202.65704  25.15306                   3C_287     7.0522   0.211600  0.04556    29.9  0.000390       0.2     16.05     1.610000     3C_287     8.938167  0.025372 -0.279702  0.000000
  24.09679  20.94928                   2E_437     3.9007   0.099125  0.06069    -7.0  0.000637       0.1     67.10     6.760000   3C__47.0     8.855493  0.008010 -0.967643  0.000000
 197.91371 -22.27811                   3C_283     4.0930   0.122800  0.01401    22.0  0.000480       0.7     58.51     5.950000     3C_283     8.809366  0.002109 -0.904685  0.000000
  61.85600   3.67981  2MASX_J04071644+0342262     5.5632   0.110649  0.28916    81.7  0.007630       0.2     27.36     2.047071   3C_105.0     8.804112  0.093048 -0.541776  0.000000
  14.39229  -1.38289                  UGC_595     5.3654   0.131703  0.74777   -10.3  0.001795       0.0     29.02     2.930000     3C__29     8.727020  0.224873 -0.574123  0.000000
 281.40687   9.89567                 3C_390.0     4.5096   0.135300  0.02020    80.8  0.000600       0.6     44.49     4.530000     3C_390     8.722187  0.003960 -0.778547  0.000000
 295.10404  60.69294                   3C_401     5.0657   0.178800  0.01393    11.0  0.000440       0.6     32.54     3.310000   3C_401.0     8.658157  0.003706 -0.632611  0.000000
  83.68546  19.45603            053444+192721     7.0192   0.210600  0.00703    70.1  0.000610       1.7     14.52     1.560000       NONE     8.654863  0.004190 -0.247224  0.000000
  51.99587   2.56997                 UGC_2748     5.2442   0.115429  0.24362   -38.0  0.007867       0.2     29.36     2.141121   3C__88.0     8.615103  0.071485 -0.585856  0.000000
  20.11300 -15.33803                    3C_38     5.0817   0.179400  0.03444   -50.0  0.000440       0.2     30.82     3.130000     3C__38     8.542867  0.009546 -0.613067  0.000000
 148.96617  69.67947                     M_82     6.2039   0.209000  0.00310    68.3  0.000570       3.1     18.36     1.860000     3C_231     8.481209  0.001432 -0.369026  0.000000
  39.43242 -19.54317            023743-193235     4.6158   0.153100  0.13512    12.6  0.000660       0.1     37.76     3.830000       NONE     8.458511  0.030268 -0.714847  0.000000
  72.26617  45.02678                  32P_131     4.0013   0.125100  0.01886    71.2  0.005270       1.7     53.68     3.528243   3C_129.1     8.455842  0.002971 -0.883088  0.000000
  33.89742 -12.99153  2MASX_J02153739-1259298     4.6799   0.122141  0.26787   -51.3  0.000681       0.1     35.48     3.580000     3C__62     8.390013  0.063344 -0.688973  0.000000
 227.73762   7.85689                   3C_313     3.7991   0.093721  0.16449    63.9  0.000835       0.1     59.13     5.940000   3C_313.0     8.379704  0.023311 -0.933613  0.000000
 316.03058  76.55222                 3C_427.1     3.8903   0.132400  0.00544   -26.8  0.000590       1.9     55.26     5.670000   3C_427.1     8.357771  0.000823 -0.902523  0.000000
  10.20979  10.05647                  3C_18.0     4.6023   0.147600  0.03431   -76.5  0.000920       0.4     36.04     3.660000   3C__18.0     8.328247  0.007928 -0.699986  0.000000
 122.21933 -10.47267                   3C_195     4.2561   0.111637  0.15299   -78.1  0.001301       0.1     43.66     4.400000     3C_195     8.324979  0.029172 -0.791820  0.000000
 158.39112  58.24386                    UMA_B     4.1879   0.130800  0.09972   -68.0  0.001200       0.1     45.25     4.590000   3C_244.1     8.315076  0.018324 -0.809480  0.000000
  17.07162 -16.07344                    2C_92     4.2013   0.130500  0.01905    21.5  0.001390       0.8     44.44     4.490000     3C__32     8.290737  0.003554 -0.802250  0.000000
 137.38971  42.89650                  2E_2098     4.2338   0.127000  0.01016    70.0  0.000390       0.8     40.56     4.060000     3C_216     8.119728  0.002034 -0.768557  0.000000
 331.54304 -18.59417            220610-183539     6.3984   0.192000  0.01474   -31.7  0.000490       0.6     14.48     1.500000       NONE     8.096331  0.008242 -0.277781  0.000000
  63.42558  11.19581                   2E_951     4.0687   0.097266  0.32955    50.6  0.000920       0.1     43.03     4.340000   3C_109.0     8.028670  0.061488 -0.802192  0.000000
 174.79454 -13.84525            113910-135042     4.2247   0.148500  0.14924   -16.2  0.000480       0.1     38.96     3.960000       NONE     8.013813  0.030698 -0.755600  0.000000
  44.45275   6.03581                   3C_75A     4.5627   0.083782  0.03000    10.5  0.007427      13.2     32.02     2.357053    3C__75N     7.999820  0.007495 -0.662700  0.000000
  40.66967  -0.01325                     M_77     4.8481   0.170400  0.00283   -50.3  0.000500       3.2     27.26     2.800000     3C__71     7.974324  0.000828 -0.587326  0.000000
 223.98008 -11.14964            145555-110858     4.2499   0.140300  0.03677   -18.8  0.000710       0.3     32.92     3.350000       NONE     7.666456  0.008563 -0.696283  0.000000
 324.42354 -14.54603            213741-143245     3.8640   0.100188  0.33170    60.7  0.001771       0.1     40.73     4.090000       NONE     7.617466  0.062036 -0.801065  0.000000
   9.26692  -1.15261  6dFGS_gJ003704.1-010908     4.0671   0.138500  0.16842    20.7  0.000580       0.1     35.13     3.610000     3C__15     7.570686  0.036295 -0.733335  0.000000
  73.84862 -20.57050            045523-203413     4.5861   0.159500  0.02069   -25.0  0.000510       0.4     25.73     2.620000       NONE     7.538583  0.006062 -0.586576  0.000000
 319.71908  49.61633                   3C_431     3.3938   0.107700  0.01786    47.0  0.001110       0.8     52.35     5.320000     3C_431     7.466400  0.002547 -0.930561  0.000000
 228.41625  26.12603                 4C_26.47     3.5942   0.112700  0.38838   -11.6  0.004670       0.1     45.21     4.550000     3C_315     7.455812  0.064050 -0.861176  0.000000
  39.51071  59.19756                    26P_3     3.6417   0.114700  0.11060     1.7  0.001420       0.2     43.76     4.440000   3C__69.0     7.455450  0.018843 -0.845623  0.000000
 109.32346 -25.08142            071717-250453     4.3743   0.149300  0.08907    67.5  0.000600       0.1     26.92     2.740000       NONE     7.384669  0.024434 -0.618035  0.000000
 104.74621 -24.29192            065859-241730     3.1223   0.078665  0.05096    72.2  0.000912       0.4     58.18     5.870000       NONE     7.253544  0.006353 -0.994833  0.000000
 103.81158  54.15000                 3C_171.0     3.6800   0.129300  0.12740    49.0  0.000480       0.1     38.47     3.850000     3C_171     7.237406  0.023968 -0.798244  0.000000
 147.54487  14.33258                   3C_228     3.7116   0.117700  0.10391   -57.6  0.000940       0.1     36.98     3.780000     3C_228     7.199169  0.020229 -0.781900  0.000000
 147.99512  -0.02411                   3C_230     3.1521   0.094600  0.01805    21.6  0.000460       0.5     52.81     4.339700     3C_230     7.101769  0.002427 -0.958665  0.000000
  92.38554  48.07117                   2C_524     4.1328   0.124000  0.02520   -75.0  0.000420       0.3     27.01     2.700000   3C_153.0     7.098921  0.006623 -0.638486  0.000000
  35.22617  -1.94772                    3C_63     3.4192   0.102600  0.08676    54.4  0.000480       0.1     42.34     4.310000     3C__63     7.060832  0.014469 -0.855846  0.000000
 326.04821  28.17892                   3C_436     3.3149   0.084981  0.22591    24.5  0.001211       0.1     44.75     4.520000   3C_436.0     7.017905  0.035428 -0.885211  0.000000
 168.66012  40.62244                   3C_254     3.1279   0.109500  0.04772    75.3  0.000490       0.2     51.25     5.210000   3C_254.0     7.002147  0.006520 -0.951088  0.000000
   1.59417  -0.07364                4C_-00.01     3.8976   0.116900  0.02586   -22.1  0.000460       0.3     29.07     2.950000     3C___2     6.954685  0.006187 -0.683413  0.000000
 208.07421  31.44631                 UGC_8782     4.0854   0.144000  0.00939    41.2  0.000460       0.9     25.18     1.837417     3C_293     6.899947  0.002573 -0.618548  0.000000
  57.87338 -14.49897  2MASS_J03512857-1429082     3.0436   0.079977  0.11837   -73.7  0.000772       0.1     51.23     5.170000     3C__95     6.866516  0.015865 -0.960248  0.000000
  30.05062 -30.89069            020012-305326     3.7516   0.130000  0.05924   -71.0  0.000520       0.2     30.00     3.060000       NONE     6.829929  0.013487 -0.707109  0.000000
  82.87208   6.50761                 3C_142.1     3.2329   0.104400  0.05768    68.3  0.001040       0.3     39.41     4.030000   3C_142.1     6.646003  0.009727 -0.850511  0.000000
 204.70696  38.85308                   3C_288     3.3589   0.100800  0.00131   -61.3  0.000460       6.6     35.46     3.550000     3C_288     6.624635  0.000245 -0.801586  0.000000
 237.49392  62.68914                   3C_325     3.5637   0.125300  0.10282    55.9  0.000460       0.1     30.41     3.090000   3C_325.0     6.610442  0.022351 -0.729202  0.000000
  49.56983  41.90489                 3C_83.1A     3.2406   0.072786  0.08546   -84.7  0.019130       0.9     38.24     2.892767  3C__83.1A     6.599698  0.014749 -0.839451  0.000000
  73.80963 -30.11311            045514-300647     3.4309   0.107600  0.09918   -89.1  0.001220       0.1     32.80     3.320000       NONE     6.575962  0.019884 -0.767851  0.000000
 126.82212 -20.43969            082717-202622     3.7542   0.130600  0.08778    67.5  0.000510       0.1     25.95     2.650000       NONE     6.553595  0.022169 -0.657547  0.000000
   4.13171  79.28103                   3C_6.1     3.6503   0.122100  0.02743    62.2  0.000610       0.4     27.23     2.790000   3C___6.1     6.513723  0.006562 -0.683469  0.000000
 335.96146  -2.11744                   3C_445     4.4176   0.083501  0.34736   -13.1  0.020107       0.5     16.92     1.750000   3C_445.0     6.505151  0.133548 -0.456743  0.000000
 241.40412  -9.47067            160536-092814     3.5245   0.063210  0.37737    15.8  0.007229       0.3     29.41     2.147673       NONE     6.495707  0.083349 -0.721591  0.000000
 215.75337  19.58967                   3C_300     3.2470   0.121000  0.02556   -56.2  0.000640       0.4     35.78     3.630000     3C_300     6.483538  0.004632 -0.816165  0.000000
 190.58200  -4.77214                   3C_275     3.6721   0.129500  0.01668    68.4  0.000520       0.6     26.10     2.610000   3C_275.0     6.461977  0.004130 -0.667028  0.000000
 176.37929  31.56028                 3C_265.0     2.8909   0.066169  0.16160    29.3  0.000651       0.1     46.46     4.690000     3C_265     6.435647  0.022385 -0.944514  0.000000
 144.95917  35.93142    2XMM_J093952.7+355358     3.4104   0.082025  0.45908   -57.4  0.002084       0.1     30.82     2.230359   3C_223.0     6.431524  0.095801 -0.748712  0.000000
  27.12367  53.54550                    3C_52     3.8328   0.120000  0.07818     9.4  0.001350       0.2     22.67     2.320000   3C__52.0     6.396950  0.022061 -0.604540  0.000000
 305.53562  10.01969                  2E_4367     3.3482   0.114400  0.02197    77.6  0.000590       0.5     30.84     3.140000   3C_411.0     6.348993  0.004523 -0.755193  0.000000
 160.68558  12.05883                 4C_12.37     3.3057   0.099200  0.18421   -83.1  0.000450       0.0     31.50     3.230000     3C_245     6.330031  0.037018 -0.766740  0.000000
 278.44354  47.45819  2MASX_J18334627+4727027     3.6898   0.091680  0.20206   -71.1  0.000644       0.1     23.22     2.420000     3C_381     6.269294  0.054555 -0.625626  0.000000
 115.77400  80.42892                 3C_184.1     3.3210   0.080473  0.22581    70.6  0.001836       0.2     29.46     2.144411   3C_184.1     6.229507  0.047749 -0.742397  0.000000
 254.87900  47.04033                   3C_349     3.3584   0.081341  0.13420    68.7  0.000764       0.1     28.59     2.890000   3C_349.0     6.225353  0.029221 -0.728393  0.000000
  17.46904  73.21097                  3C_33.1     3.0952   0.073722  0.14944    32.7  0.003685       0.7     33.91     3.390000   3C__33.1     6.170105  0.027191 -0.814192  0.000000
 144.84762  83.25728                 3C_220.3     2.9522   0.088600  0.00452    81.0  0.000420       1.8     37.49     3.820000   3C_220.3     6.140883  0.000740 -0.864416  0.000000
  58.13350  -7.18456   2MASSI_J0352305-071102     2.9293   0.111900  0.31275    65.5  0.000620       0.0     37.92     3.850000     3C__94     6.127041  0.050534 -0.870943  0.000000
 197.16317  -9.84211            130839-095031     4.2442   0.127300  0.01200    10.7  0.000470       0.8     15.09     1.510000       NONE     6.117200  0.004865 -0.431432  0.000000
 125.33404 -30.16681            082120-301000     3.2107   0.073508  0.16749   -85.9  0.008261       0.3     30.05     2.299565       NONE     6.116369  0.034091 -0.760629  0.000000
  21.68500  33.21933                  3C_41.0     3.7126   0.144200  0.23887    47.2  0.000550       0.0     20.37     2.080000     3C__41     6.063646  0.071106 -0.578992  0.000000
 250.95287  17.26356  2MASX_J16434862+1715489     3.6662   0.110000  0.08064   -82.7  0.000560       0.1     20.81     2.080000   3C_346.0     6.046728  0.023431 -0.590538  0.000000
 152.75150   6.41117                   3C_238     2.9642   0.088900  0.02910    10.9  0.000460       0.3     35.13     3.580000     3C_238     6.044319  0.005007 -0.840922  0.000000
  74.17929  22.82281                   3C_132     3.4328   0.120400  0.09751   -81.4  0.000520       0.1     24.39     2.490000   3C_132.0     6.040217  0.024148 -0.666901  0.000000
  73.34725  31.49006                   3C_131     2.8680   0.101100  0.02997   -32.0  0.000520       0.3     37.54     3.830000   3C_131.0     6.018004  0.004804 -0.874711  0.000000
  54.43087  50.76458     87GB_033404.4+503607     3.3350   0.116800  0.13241    46.1  0.000610       0.1     25.77     2.620000   3C__91.0     6.011815  0.030890 -0.695451  0.000000
 222.34058  63.27053                  IC_1065     3.0060   0.090200  0.00803    11.9  0.000420       1.0     33.16     3.320000     3C_305     6.004177  0.001454 -0.816531  0.000000
 175.85433  22.11556                 3C_263.1     3.1287   0.093900  0.03221   -40.5  0.000420       0.2     29.93     2.990000   3C_263.1     5.997842  0.006455 -0.768068  0.000000
