#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-10-01T22:04:51 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ524b46cf1f93	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/65&tab:{VIII/65/nvss}&key:source=nvss&HTTPPRM:&&-ref=VIZ524b46cf1f93&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/65/nvss
#-order=I
#-out=NVSS
#-out=RAJ2000
#-out=DEJ2000
#-out=e_RAJ2000
#-out=e_DEJ2000
#-out=S1.4
#-sort=S1.4
#S1.4=> 1000
#-out=e_S1.4
#-out=polFlux
#-out=polPA
#-out=e_polFlux
#-out=e_polPA
#Image=Image
#

#RESOURCE=yCat_8065
#Name: VIII/65
#Title: 1.4GHz NRAO VLA Sky Survey (NVSS) (Condon+ 1998)
#Table	VIII_65_nvss:
#Name: VIII/65/nvss
#Title: The NVSS Catalog
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	NVSS	(a14)	Source name (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	e_RAJ2000	(F5.2)	Mean error on RA	[ucd=stat.error;pos.eq.ra]
#Column	e_DEJ2000	(F4.1)	Mean error on Dec	[ucd=stat.error;pos.eq.dec]
#Column	S1.4	(F8.1)	Integrated 1.4GHz flux density of radio source	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1.4	(F7.1)	Mean error on S1.4	[ucd=stat.error]
#Column	polFlux	(F6.2)	? Integrated linearly polarized flux density	[ucd=phot.flux.density]
#Column	polPA	(F5.1)	[-90,90]? The position angle of polFlux (4)	[ucd=pos.posAng;phys.polarization]
#Column	e_polFlux	(F5.2)	? Mean error on polFlux	[ucd=stat.error]
#Column	e_polPA	(F4.1)	? Mean error on polPA	[ucd=stat.error]
_RAJ2000|_DEJ2000|NVSS|RAJ2000|DEJ2000|e_RAJ2000|e_DEJ2000|S1.4|e_S1.4|polFlux|polPA|e_polFlux|e_polPA
295.77217|+42.15044|194305+420901 |19 43 05.32|+42 09 01.6| 0.04| 0.6|  1012.3|   32.8| 22.07|-68.2| 3.01| 1.1
218.24071|-18.02617|143257-180134 |14 32 57.77|-18 01 34.2| 0.03| 0.6|  1012.5|   35.6| 30.41|-22.7| 0.49| 0.3
066.98742|+17.87856|042756+175242 |04 27 56.98|+17 52 42.8| 0.03| 0.6|  1013.1|   34.7| 30.14| 26.5| 0.56| 0.3
068.88846|+61.61750|043533+613703 |04 35 33.23|+61 37 03.0| 0.06| 0.6|  1013.1|   30.4|  3.90| 75.0| 0.47| 2.3
090.79658|-34.44847|060311-342654 |06 03 11.18|-34 26 54.5| 0.04| 0.6|  1013.6|   35.7| 11.95| -8.5| 0.50| 0.8
328.64521|+14.73144|215434+144353 |21 54 34.85|+14 43 53.2| 0.03| 0.6|  1013.7|   37.8|  3.18|-71.5| 0.66| 3.3
300.97708|+66.43233|200354+662556 |20 03 54.50|+66 25 56.4| 0.08| 0.6|  1013.8|   30.4|  4.42| 74.9| 0.43| 1.9
055.22387| +7.59039|034053+073525 |03 40 53.73|+07 35 25.4| 0.03| 0.6|  1014.0|   30.4|  3.87|-18.3| 0.45| 2.2
322.84062| +9.20942|213121+091233 |21 31 21.75|+09 12 33.9| 0.03| 0.6|  1014.1|   30.4|  3.63|-48.1| 0.43| 2.3
122.35854|-39.09800|080926-390552 |08 09 26.05|-39 05 52.8| 0.04| 0.6|  1014.1|   33.7| 12.72|-40.4| 0.78| 1.0
176.14354|+37.17136|114434+371016 |11 44 34.45|+37 10 16.9| 0.04| 0.6|  1014.1|   35.2| 30.13| 65.5| 0.51| 0.3
282.14312|+32.73344|184834+324400 |18 48 34.35|+32 44 00.4| 0.04| 0.6|  1014.4|   30.4| 20.56|-86.9| 0.46| 0.4
032.44783| +9.83386|020947+095001 |02 09 47.48|+09 50 01.9| 0.03| 0.6|  1014.5|   32.0|  5.59|-43.5| 1.17| 2.5
097.13750|-21.20858|062833-211230 |06 28 33.00|-21 12 30.9| 0.03| 0.6|  1014.9|   35.7| 11.23| 78.6| 0.49| 0.8
240.59300|+80.26642|160222+801559 |16 02 22.32|+80 15 59.1| 0.18| 0.6|  1015.0|   32.9| 23.36| 29.5| 0.79| 0.5
033.77479|+20.01419|021505+200051 |02 15 05.95|+20 00 51.1| 0.03| 0.6|  1015.1|   33.9|  4.64|-57.4| 0.60| 2.1
342.72358|-12.08197|225053-120455 |22 50 53.66|-12 04 55.1| 0.03| 0.6|  1015.7|   30.5|  1.17| 48.2| 0.42| 7.0
028.00417|-29.68328|015201-294059 |01 52 01.00|-29 40 59.8| 0.03| 0.6|  1016.6|   35.6| 27.46| 89.5| 0.48| 0.3
267.06271|-28.35711|174815-282125 |17 48 15.05|-28 21 25.6| 0.04| 0.6|  1016.8|   30.9|  4.81|-42.4| 3.67| 5.7
019.56571|-25.86331|011815-255147 |01 18 15.77|-25 51 47.9| 0.03| 0.6|  1016.8|   30.5| 14.16| 55.2| 0.45| 0.6
140.24367|+44.69825|092058+444153 |09 20 58.48|+44 41 53.7| 0.04| 0.6|  1017.2|   30.5| 16.18|-48.9| 0.42| 0.5
144.48600|-29.21928|093756-291309 |09 37 56.64|-29 13 09.4| 0.03| 0.6|  1017.2|   32.6| 78.95| 67.1| 2.89| 0.3
256.94129|-30.51300|170745-303046 |17 07 45.91|-30 30 46.8| 0.03| 0.6|  1017.3|   36.9|  6.41| 79.2| 1.37| 3.1
341.55933|+63.83172|224614+634954 |22 46 14.24|+63 49 54.2| 0.07| 0.6|  1017.3|   30.5|  1.07|-86.3| 0.50| 9.3
167.84462| +3.15289|111122+030910 |11 11 22.71|+03 09 10.4| 0.03| 0.6|  1017.7|   35.8|  6.97| -1.0| 0.47| 1.3
314.99837|-14.67864|205959-144043 |20 59 59.61|-14 40 43.1| 0.03| 0.6|  1018.1|   30.5|  9.48| 10.1| 0.47| 0.9
293.40608|+36.55578|193337+363320 |19 33 37.46|+36 33 20.8| 0.04| 0.6|  1018.3|   30.6|  0.68| 53.6| 0.54|15.2
275.33450|+35.24936|182120+351457 |18 21 20.28|+35 14 57.7| 0.04| 0.6|  1018.6|   30.6|  1.39|-74.1| 0.46| 6.4
270.20679|-23.34044|180049-232025 |18 00 49.63|-23 20 25.6| 0.03| 0.6|  1018.8|   37.4|  7.43| 85.6| 1.00| 2.0
107.69233|+47.53644|071046+473211 |07 10 46.16|+47 32 11.2| 0.04| 0.6|  1018.9|   30.6| 20.87|-22.3| 0.40| 0.4
017.35683|-34.78758|010925-344715 |01 09 25.64|-34 47 15.3| 0.04| 0.6|  1019.1|   30.6|  9.41| -9.0| 0.45| 0.9
262.59054|+79.82133|173021+794916 |17 30 21.73|+79 49 16.8| 0.17| 0.6|  1019.2|   30.6|  1.13| 42.3| 0.45| 7.6
347.53083|-27.96433|231007-275751 |23 10 07.40|-27 57 51.6| 0.03| 0.6|  1019.2|   32.8| 25.65| 54.9| 0.93| 0.5
333.78883|+13.37711|221509+132237 |22 15 09.32|+13 22 37.6| 0.03| 0.6|  1019.4|   30.6|      |     |     |
359.32750|+14.76875|235718+144607 |23 57 18.60|+14 46 07.5| 0.03| 0.6|  1019.4|   30.6| 30.62|-57.6| 0.44| 0.3
201.50925|+36.80000|132602+364800 |13 26 02.22|+36 48 00.0| 0.04| 0.6|  1019.7|   34.9| 31.40|-15.5| 0.52| 0.3
094.90512|-20.90381|061937-205413 |06 19 37.23|-20 54 13.7| 0.03| 0.6|  1019.9|   35.7| 20.36|-67.0| 0.51| 0.5
107.61883| +9.33175|071028+091954 |07 10 28.52|+09 19 54.3| 0.03| 0.6|  1020.4|   34.4| 25.88|  2.9| 0.61| 0.4
325.76396|-24.78264|214303-244657 |21 43 03.35|-24 46 57.5| 0.03| 0.6|  1020.7|   31.5| 29.01| 21.6| 7.62| 1.2
043.49583|+20.24906|025359+201456 |02 53 59.00|+20 14 56.6| 0.03| 0.6|  1020.7|   33.2| 71.90|-86.7| 0.76| 0.2
179.60750|+24.83825|115825+245017 |11 58 25.80|+24 50 17.7| 0.03| 0.6|  1021.2|   30.6|  4.45|-38.8| 0.43| 1.8
162.67658|-27.55242|105042-273308 |10 50 42.38|-27 33 08.7| 0.03| 0.6|  1021.5|   30.6| 32.54|-36.2| 0.45| 0.3
162.14071|+60.14583|104833+600845 |10 48 33.77|+60 08 45.0| 0.06| 0.6|  1021.8|   30.7| 19.69|-63.3| 0.41| 0.4
340.46021|-10.25619|224150-101522 |22 41 50.45|-10 15 22.3| 0.03| 0.6|  1021.9|   30.7|  4.56|-33.3| 0.44| 1.9
249.73608| -3.22439|163856-031327 |16 38 56.66|-03 13 27.8| 0.03| 0.6|  1022.2|   30.7|  5.53| 87.1| 0.48| 1.7
268.30950|+27.01492|175314+270053 |17 53 14.28|+27 00 53.7| 0.03| 0.6|  1022.2|   30.7|  5.61|-27.7| 0.47| 1.6
351.57279|+58.68550|232617+584107 |23 26 17.47|+58 41 07.8| 0.07| 0.7|  1022.6|   31.3| 36.73|-65.4|41.78| 2.9
315.90096|-27.82242|210336-274920 |21 03 36.23|-27 49 20.7| 0.03| 0.6|  1023.3|   35.9| 18.30| -9.5| 0.50| 0.5
034.25767|+28.08283|021701+280458 |02 17 01.84|+28 04 58.2| 0.03| 0.6|  1023.5|   35.0| 11.31| 88.6| 0.50| 0.8
241.55362| +0.00764|160612+000027b|16 06 12.87|+00 00 27.5| 0.03| 0.6|  1024.0|   33.9| 86.91|-59.5| 0.75| 0.1
139.62187|+22.54331|091829+223235 |09 18 29.25|+22 32 35.9| 0.03| 0.6|  1024.5|   36.2| 29.82|-31.8| 0.44| 0.3
034.48813|-16.51956|021757-163110 |02 17 57.15|-16 31 10.4| 0.03| 0.6|  1024.7|   36.0| 27.72|-61.2| 0.46| 0.3
243.56008| +4.09811|161414+040553 |16 14 14.42|+04 05 53.2| 0.03| 0.6|  1024.8|   35.9| 30.78|-63.1| 0.52| 0.3
320.18571|-26.74467|212044-264440 |21 20 44.57|-26 44 40.8| 0.03| 0.6|  1024.9|   35.0|  3.61| 57.7| 0.59| 2.8
110.54608|-18.80556|072211-184820 |07 22 11.06|-18 48 20.0| 0.03| 0.6|  1025.2|   35.8|  4.81|-29.7| 0.57| 2.1
315.42537|-28.05256|210142-280309 |21 01 42.09|-28 03 09.2| 0.03| 0.6|  1025.6|   35.3| 18.58|-71.3| 1.25| 0.8
205.70171| +1.96958|134248+015810 |13 42 48.41|+01 58 10.5| 0.03| 0.6|  1026.4|   36.0|  4.35| 39.1| 0.51| 2.2
145.82021| -7.63517|094316-073806 |09 43 16.85|-07 38 06.6| 0.03| 0.6|  1026.5|   30.8|  2.48| 51.7| 0.46| 3.6
339.78421|-17.34883|223908-172055 |22 39 08.21|-17 20 55.8| 0.03| 0.6|  1026.7|   34.7| 14.58| 80.0| 1.50| 1.1
352.99583|+17.48192|233159+172854 |23 31 59.00|+17 28 54.9| 0.03| 0.6|  1026.7|   30.8|  2.29|-24.1| 0.43| 3.6
022.77937| +4.17103|013107+041015 |01 31 07.05|+04 10 15.7| 0.03| 0.6|  1026.7|   30.8|  8.40| -4.1| 0.44| 1.0
027.44200|+36.47569|014946+362832 |01 49 46.08|+36 28 32.5| 0.04| 0.6|  1026.8|   30.8|  2.98| 61.3| 0.39| 2.6
262.56046|-33.23600|173014-331409 |17 30 14.51|-33 14 09.6| 0.04| 0.6|  1027.4|   34.3|  3.55| 67.3| 1.97| 5.8
223.79442| -5.65319|145510-053911 |14 55 10.66|-05 39 11.5| 0.03| 0.6|  1027.7|   30.8|  9.78| 37.1| 0.47| 0.9
349.14512|-16.42942|231634-162545 |23 16 34.83|-16 25 45.9| 0.03| 0.6|  1027.7|   33.2|  8.25|-44.0| 0.84| 1.4
258.35825|+28.21822|171325+281305 |17 13 25.98|+28 13 05.6| 0.03| 0.6|  1027.8|   36.2|  0.30| 52.7| 0.47|29.1
266.85567|-28.36939|174725-282209 |17 47 25.36|-28 22 09.8| 0.03| 0.6|  1028.1|   34.7|  8.72| 47.2| 1.87| 2.2
177.25071|-12.07100|114900-120415 |11 49 00.17|-12 04 15.6| 0.03| 0.6|  1028.3|   31.8| 41.99|-76.7| 6.77| 0.8
217.34137|+54.10314|142921+540611 |14 29 21.93|+54 06 11.3| 0.05| 0.6|  1028.3|   30.9|  6.35| -6.9| 0.40| 1.2
214.28279|+46.11800|141707+460704 |14 17 07.87|+46 07 04.8| 0.04| 0.6|  1028.4|   30.9| 14.27|-14.4| 0.41| 0.5
089.98208|+19.14792|055955+190852 |05 59 55.70|+19 08 52.5| 0.03| 0.6|  1028.6|   30.9|  0.21| 38.8| 0.59|53.9
271.95267|+48.48950|180748+482922 |18 07 48.64|+48 29 22.2| 0.05| 0.6|  1028.7|   32.3|  7.49| 75.1| 1.08| 1.7
179.80292| -9.68100|115912-094051 |11 59 12.70|-09 40 51.6| 0.03| 0.6|  1029.4|   30.9|  9.03|  7.9| 0.46| 1.0
143.77758|+39.70211|093506+394207 |09 35 06.62|+39 42 07.6| 0.04| 0.6|  1029.5|   30.9| 26.45|  6.6| 0.45| 0.3
115.60496|-17.25178|074225-171506 |07 42 25.19|-17 15 06.4| 0.03| 0.6|  1029.9|   34.6| 19.56|-31.4| 1.60| 0.8
167.44892|+37.63792|110947+373816 |11 09 47.74|+37 38 16.5| 0.04| 0.6|  1029.9|   39.6| 37.33| -7.6| 0.55| 0.3
355.12104|+26.69933|234029+264157 |23 40 29.05|+26 41 57.6| 0.03| 0.6|  1030.0|   30.9|  1.44| -8.3| 0.42| 5.8
245.67629|-11.48269|162242-112857 |16 22 42.31|-11 28 57.7| 0.03| 0.6|  1030.2|   30.9|  2.33| -3.1| 0.48| 4.1
093.39038|-25.51064|061333-253038 |06 13 33.69|-25 30 38.3| 0.03| 0.6|  1030.2|   36.5| 38.67|  5.7| 1.00| 0.3
223.63696|-40.20917|145432-401233 |14 54 32.87|-40 12 33.0| 0.04| 0.6|  1030.5|   36.2| 35.48| 16.7| 0.58| 0.3
273.31104|+43.07111|181314+430416 |18 13 14.65|+43 04 16.0| 0.04| 0.6|  1030.6|   30.9| 30.80| 60.9| 0.42| 0.3
246.31004|+15.75572|162514+154520 |16 25 14.41|+15 45 20.6| 0.03| 0.6|  1030.7|   30.9| 44.08|-16.7| 0.56| 0.2
102.17146|+14.67239|064841+144020 |06 48 41.15|+14 40 20.6| 0.03| 0.6|  1032.0|   31.0|  7.42| -7.1| 0.44| 1.2
009.95346|+74.72308|003948+744323 |00 39 48.83|+74 43 23.1| 0.11| 0.6|  1032.1|   31.0|  0.99|-83.3| 0.46| 9.1
166.82121| -5.41619|110717-052458 |11 07 17.09|-05 24 58.3| 0.03| 0.6|  1033.1|   31.0| 23.76| 46.6| 0.46| 0.4
010.35833| -1.72083|004126-014315 |00 41 26.00|-01 43 15.0| 0.03| 0.6|  1033.6|   35.9| 23.86| 89.6| 0.53| 0.4
087.70700|-31.74058|055049-314426 |05 50 49.68|-31 44 26.1| 0.04| 0.6|  1033.6|   36.0|163.49| 45.1| 0.51| 0.1
009.57512|+12.45875|003818+122731 |00 38 18.03|+12 27 31.5| 0.03| 0.6|  1033.9|   31.0| 67.52| 55.9| 0.42| 0.1
062.91987|+17.23475|041140+171405 |04 11 40.77|+17 14 05.1| 0.03| 0.6|  1034.1|   31.0|  4.80|-50.2| 0.48| 1.9
151.82883|+44.41706|100718+442501 |10 07 18.92|+44 25 01.4| 0.04| 0.6|  1034.4|   36.1| 40.66| 36.3| 0.44| 0.2
162.14262|+34.95708|104834+345725 |10 48 34.23|+34 57 25.5| 0.04| 0.6|  1034.4|   31.0| 23.57| 40.9| 0.42| 0.3
107.30213|-15.45033|070912-152701 |07 09 12.51|-15 27 01.2| 0.03| 0.6|  1034.5|   40.4|  8.42|-60.6| 0.57| 1.2
254.44562|+48.14242|165746+480832 |16 57 46.95|+48 08 32.7| 0.04| 0.6|  1035.1|   31.1|  1.45|-65.2| 0.40| 5.4
284.88604|+58.72492|185932+584329 |18 59 32.65|+58 43 29.7| 0.06| 0.6|  1035.3|   33.1|  4.70|-87.0| 0.93| 2.6
085.78137|-24.35081|054307-242102 |05 43 07.53|-24 21 02.9| 0.03| 0.6|  1035.5|   36.1|  3.60| 13.3| 0.53| 2.7
216.06217|-38.43992|142414-382623 |14 24 14.92|-38 26 23.7| 0.04| 0.6|  1035.8|   35.6| 38.23|-14.6| 0.62| 0.3
276.49321| -0.76781|182558-004604 |18 25 58.37|-00 46 04.1| 0.03| 0.6|  1035.9|   31.1|  3.89| 24.1| 0.65| 3.3
319.01892|+61.01456|211604+610052 |21 16 04.54|+61 00 52.4| 0.06| 0.6|  1035.9|   36.2| 64.26|-42.4| 0.57| 0.2
027.70971| -9.02453|015050-090128 |01 50 50.33|-09 01 28.3| 0.03| 0.6|  1036.0|   31.1|  4.32|-52.6| 0.49| 2.1
126.52725|-35.54656|082606-353247 |08 26 06.54|-35 32 47.6| 0.04| 0.6|  1036.6|   36.0| 24.47| 14.6| 0.58| 0.4
134.91104|-19.37383|085938-192225 |08 59 38.65|-19 22 25.8| 0.03| 0.6|  1036.6|   35.2| 33.55| 18.0| 0.59| 0.3
277.85371|+62.50958|183124+623034 |18 31 24.89|+62 30 34.5| 0.07| 0.6|  1036.7|   31.1| 73.16|-28.6| 0.43| 0.1
126.45467|+74.07544|082549+740431 |08 25 49.12|+74 04 31.6| 0.11| 0.6|  1036.7|   36.5| 31.60| 18.4| 0.47| 0.3
223.75596| -4.33958|145501-042022 |14 55 01.43|-04 20 22.5| 0.03| 0.6|  1037.3|   36.2|103.07|-87.1| 0.54| 0.1
