#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-10-01T22:03:14 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ524b42ba3871	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/79A&tab:{VIII/79A/catalog}&key:source=VIII/79A/catalog&HTTPPRM:&-ref=VIZ524b42ba3871&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-order=I&Si=> 10&-ignore=SPECFIND=*&SPECFIND=SPECFIND&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/79A/catalog
#-order=I
#-out=VLSS
#-out=RAJ2000
#-out=e_RAJ2000
#-out=DEJ2000
#-out=e_DEJ2000
#-out=Si
#-sort=Si
#Si=> 10
#-out=e_Si
#SPECFIND=SPECFIND
#

#RESOURCE=yCat_8079
#Name: VIII/79A
#Title: The VLA Low-frequency Sky Survey at 74MHz (Cohen+ 2007)
#Table	VIII_79A_catalog:
#Name: VIII/79A/catalog
#Title: The VLSS Catalog, Version 2007-06-26
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	VLSS	(a12)	VLSS name {\em(Name derived from truncated J2000 position; a suffix {\bf A} or {\bf B} was added in case of name collision)}	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	e_RAJ2000	(F5.2)	Mean error on RA	[ucd=stat.error;pos.eq.ra]
#Column	DEJ2000	(A11)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	e_DEJ2000	(F4.1)	Mean error on Declination	[ucd=stat.error;pos.eq.dec]
#Column	Si	(F8.2)	Integrated flux density at 74MHz	[ucd=phot.flux.density;em.radio.20-100MHz]
#Column	e_Si	(F7.2)	? Mean error on Si (1)	[ucd=stat.error]
_RAJ2000|_DEJ2000|VLSS|RAJ2000|e_RAJ2000|DEJ2000|e_DEJ2000|Si|e_Si
165.62933| -9.69089|1102.5-0941 |11 02 31.04| 0.20|-09 41 27.2| 3.1|   10.12|   1.04
000.27346|-16.99011|0001.0-1659 |00 01 05.63| 0.20|-16 59 24.4| 3.1|   10.13|   1.04
059.87362|+50.96275|0359.4+5057 |03 59 29.67| 0.30|+50 57 45.9| 3.0|   10.13|   1.01
146.79058| +5.70714|0947.1+0542 |09 47 09.74| 0.20|+05 42 25.7| 3.1|   10.13|   1.06
202.10192|+30.74167|1328.4+3044 |13 28 24.46| 0.23|+30 44 30.0| 3.1|   10.13|   1.02
151.92758|+59.13756|1007.7+5908 |10 07 42.62| 0.38|+59 08 15.2| 3.1|   10.14|   1.04
063.25854|+58.25686|0413.0+5815 |04 13 02.05| 0.37|+58 15 24.7| 3.1|   10.15|   1.04
104.00467| +8.56872|0656.0+0834 |06 56 01.12| 0.20|+08 34 07.4| 3.1|   10.15|   1.04
337.78404|+16.39047|2231.1+1623 |22 31 08.17| 0.21|+16 23 25.7| 3.3|   10.15|   1.06
235.12587| -5.24414|1540.5-0514 |15 40 30.21| 0.20|-05 14 38.9| 3.1|   10.16|   1.05
047.95000| +5.13422|0311.8+0508 |03 11 48.00| 0.20|+05 08 03.2| 3.1|   10.17|   1.06
252.61042| +5.05706|1650.4+0503 |16 50 26.50| 0.59|+05 03 25.4| 6.7|   10.17|   1.93
051.17083| -3.40550|0324.6-0324 |03 24 41.00| 0.20|-03 24 19.8| 3.1|   10.18|   1.06
072.12608|+45.04472|0448.5+4502 |04 48 30.26| 3.07|+45 02 41.0|12.0|   10.18|   1.30
222.20862|+20.42628|1448.8+2025 |14 48 50.07| 0.21|+20 25 34.6| 3.1|   10.18|   1.02
287.49379|+36.61481|1909.9+3636 |19 09 58.51| 0.92|+36 36 53.3| 8.0|   10.18|   2.16
133.87562|-12.94253|0855.5-1256 |08 55 30.15| 0.20|-12 56 33.1| 3.1|   10.19|   1.02
262.21004| -3.84508|1728.8-0350 |17 28 50.41| 0.20|-03 50 42.3| 3.1|   10.19|   1.06
336.31346| +5.45253|2225.2+0527 |22 25 15.23| 0.20|+05 27 09.1| 3.1|   10.19|   1.05
189.20800|+36.92117|1236.8+3655 |12 36 49.92| 0.24|+36 55 16.2| 3.1|   10.20|   1.05
000.24017|-10.90994|0000.9-1054 |00 00 57.64| 0.20|-10 54 35.8| 3.1|   10.21|   1.05
083.88938|-12.03844|0535.5-1202 |05 35 33.45| 0.20|-12 02 18.4| 3.1|   10.21|   1.05
252.13279| +2.71297|1648.5+0242 |16 48 31.87| 0.22|+02 42 46.7| 3.6|   10.21|   1.15
272.78467|+10.37422|1811.1+1022 |18 11 08.32| 0.20|+10 22 27.2| 3.1|   10.21|   1.06
043.96646| -2.98658|0255.8-0259 |02 55 51.95| 0.20|-02 59 11.7| 3.2|   10.22|   1.05
095.26229|+23.36558|0621.0+2321 |06 21 02.95| 0.21|+23 21 56.1| 3.1|   10.22|   1.06
345.44179|+48.41169|2301.7+4824 |23 01 46.03| 0.31|+48 24 42.1| 3.2|   10.22|   1.10
067.25162|+50.31986|0429.0+5019 |04 29 00.39| 0.30|+50 19 11.5| 3.1|   10.23|   1.05
079.00571|+24.98892|0516.0+2459 |05 16 01.37| 0.27|+24 59 20.1| 9.1|   10.23|   1.17
103.00883|-23.77936|0652.0-2346 |06 52 02.12| 0.21|-23 46 45.7| 3.1|   10.23|   1.05
195.81429|-18.06372|1303.2-1803 |13 03 15.43| 0.20|-18 03 49.4| 3.1|   10.23|   1.06
345.32329|+19.67300|2301.2+1940 |23 01 17.59| 0.21|+19 40 22.8| 3.1|   10.23|   1.05
027.69275|+20.28403|0150.7+2017 |01 50 46.26| 0.21|+20 17 02.5| 3.1|   10.26|   1.06
123.01496| -5.82372|0812.0-0549 |08 12 03.59| 0.19|-05 49 25.4| 3.1|   10.26|   1.06
175.74542|+48.85467|1142.9+4851 |11 42 58.90| 0.29|+48 51 16.8| 3.1|   10.26|   1.03
223.79517| -5.65194|1455.1-0539 |14 55 10.84| 0.20|-05 39 07.0| 3.1|   10.26|   1.07
235.30587| +0.84292|1541.2+0050 |15 41 13.41| 0.20|+00 50 34.5| 3.1|   10.26|   1.07
236.71342| -7.41558|1546.8-0724 |15 46 51.22| 0.20|-07 24 56.1| 3.1|   10.26|   1.06
156.88962|+48.29178|1027.5+4817 |10 27 33.51| 0.29|+48 17 30.4| 3.2|   10.27|   1.05
188.31046|+67.12831|1233.2+6707 |12 33 14.51| 0.50|+67 07 41.9| 3.3|   10.27|   1.04
084.43846|+34.30211|0537.7+3418 |05 37 45.23| 0.23|+34 18 07.6| 3.1|   10.28|   1.06
153.65658|+53.97611|1014.6+5358 |10 14 37.58| 0.33|+53 58 34.0| 3.1|   10.28|   1.03
185.71654|+50.44794|1222.8+5026 |12 22 51.97| 0.30|+50 26 52.6| 3.1|   10.28|   1.05
331.11408|+36.88008|2204.4+3652 |22 04 27.38| 0.24|+36 52 48.3| 3.1|   10.28|   1.06
038.22450| -6.76419|0232.8-0645 |02 32 53.88| 0.20|-06 45 51.1| 3.1|   10.29|   1.06
266.78000|+18.35381|1747.1+1821 |17 47 07.20| 0.21|+18 21 13.7| 3.1|   10.29|   1.06
003.99217|+50.64053|0015.9+5038 |00 15 58.12| 0.31|+50 38 25.9| 3.1|   10.30|   1.03
191.41071| +3.38858|1245.6+0323 |12 45 38.57| 0.19|+03 23 18.9| 3.1|   10.30|   1.03
206.27154|-11.13656|1345.0-1108 |13 45 05.17| 0.20|-11 08 11.6| 3.1|   10.31|   1.07
256.03004|+29.78328|1704.1+2946 |17 04 07.21| 0.22|+29 46 59.8| 3.1|   10.31|   1.03
333.95662|+56.98256|2215.8+5658 |22 15 49.59| 0.39|+56 58 57.2| 3.3|   10.32|   1.12
021.51946| -1.40011|0126.0-0124 |01 26 04.67| 0.25|-01 24 00.4| 3.7|   10.34|   1.10
347.08000|+50.31967|2308.3+5019 |23 08 19.20| 0.98|+50 19 10.8| 5.9|   10.35|   1.70
291.12458|+35.40236|1924.4+3524 |19 24 29.90| 0.30|+35 24 08.5| 4.3|   10.36|   1.29
274.25787| +3.61069|1817.0+0336 |18 17 01.89| 0.20|+03 36 38.5| 3.2|   10.37|   1.09
184.12600|-15.00278|1216.5-1500 |12 16 30.24| 0.20|-15 00 10.0| 3.1|   10.38|   1.06
275.72212|+36.15083|1822.8+3609 |18 22 53.31| 0.27|+36 09 03.0| 3.1|   10.38|   1.07
082.19779|+41.71725|0528.7+4143 |05 28 47.47| 0.26|+41 43 02.1| 3.1|   10.39|   1.07
359.54879| -8.52208|2358.1-0831 |23 58 11.71| 0.20|-08 31 19.5| 3.6|   10.39|   1.08
208.54646|-21.38189|1354.1-2122 |13 54 11.15| 0.21|-21 22 54.8| 3.1|   10.40|   1.09
214.95217|+76.00906|1419.8+7600 |14 19 48.52| 0.80|+76 00 32.6| 3.1|   10.40|   1.04
218.57150| +6.37039|1434.2+0622 |14 34 17.16| 0.19|+06 22 13.4| 3.1|   10.40|   1.07
359.32762|+14.76925|2357.3+1446 |23 57 18.63| 0.20|+14 46 09.3| 3.1|   10.40|   1.07
083.99537| -4.92878|0535.9-0455 |05 35 58.89| 0.21|-04 55 43.6| 3.4|   10.41|   1.07
219.33142| -7.89706|1437.3-0753 |14 37 19.54| 0.20|-07 53 49.4| 3.1|   10.41|   1.09
177.25417|-12.07017|1149.0-1204 |11 49 01.00| 0.22|-12 04 12.6| 3.2|   10.42|   1.08
150.11692|+14.02639|1000.4+1401 |10 00 28.06| 0.20|+14 01 35.0| 3.1|   10.43|   1.07
150.73754|+19.86547|1002.9+1951 |10 02 57.01| 0.20|+19 51 55.7| 3.1|   10.43|   1.07
061.80300| +3.72414|0407.2+0343 |04 07 12.72| 0.33|+03 43 26.9| 4.6|   10.44|   1.11
072.53054|+45.05772|0450.1+4503 |04 50 07.33| 0.29|+45 03 27.8| 3.2|   10.44|   1.09
103.21571|+60.63278|0652.8+6037 |06 52 51.77| 0.40|+60 37 58.0| 3.1|   10.44|   1.05
157.82871| +4.71878|1031.3+0443 |10 31 18.89| 0.20|+04 43 07.6| 3.1|   10.44|   1.08
181.00896| -4.37908|1204.0-0422 |12 04 02.15| 0.19|-04 22 44.7| 3.1|   10.47|   1.08
001.49792|+16.16186|0005.9+1609 |00 05 59.50| 0.20|+16 09 42.7| 3.1|   10.48|   1.08
070.47483| -0.62953|0441.8-0037 |04 41 53.96| 0.20|-00 37 46.3| 3.1|   10.48|   1.07
173.66171|+43.46717|1134.6+4328 |11 34 38.81| 0.27|+43 28 01.8| 3.1|   10.49|   1.08
219.94104|+42.57078|1439.7+4234 |14 39 45.85| 0.27|+42 34 14.8| 3.1|   10.49|   1.09
013.39846|+13.17964|0053.5+1310 |00 53 35.63| 0.20|+13 10 46.7| 3.1|   10.50|   1.08
168.77300|-10.43994|1115.0-1026 |11 15 05.52| 0.20|-10 26 23.8| 3.1|   10.50|   1.08
082.24546|+15.32181|0528.9+1519 |05 28 58.91| 0.26|+15 19 18.5| 4.3|   10.51|   1.29
316.74208|-24.08575|2106.9-2405 |21 06 58.10| 0.24|-24 05 08.7| 3.3|   10.51|   1.15
089.09792|+30.01089|0556.3+3000 |05 56 23.50| 0.22|+30 00 39.2| 3.1|   10.52|   1.08
100.01367|+29.64111|0640.0+2938 |06 40 03.28| 0.24|+29 38 28.0| 3.1|   10.52|   1.07
130.80062|+61.49494|0843.2+6129 |08 43 12.15| 0.40|+61 29 41.8| 3.1|   10.52|   1.08
278.20792|+28.56014|1832.8+2833 |18 32 49.90| 0.22|+28 33 36.5| 3.1|   10.52|   1.08
004.28425|-12.94003|0017.1-1256 |00 17 08.22| 0.20|-12 56 24.1| 3.1|   10.53|   1.08
033.77467|+20.01461|0215.0+2000 |02 15 05.92| 0.20|+20 00 52.6| 3.1|   10.54|   1.08
045.30504|+50.75211|0301.2+5045 |03 01 13.21| 0.31|+50 45 07.6| 3.1|   10.54|   1.06
096.61379|-16.67550|0626.4-1640 |06 26 27.31| 0.20|-16 40 31.8| 3.1|   10.54|   1.08
355.95200|+53.80933|2343.8+5348 |23 43 48.48| 0.37|+53 48 33.6| 3.4|   10.54|   1.09
034.13479|+18.10864|0216.5+1806 |02 16 32.35| 0.20|+18 06 31.1| 3.1|   10.55|   1.08
194.39833|+62.02739|1257.5+6201 |12 57 35.60| 0.41|+62 01 38.6| 3.1|   10.55|   1.08
005.82829| -7.74906|0023.3-0744 |00 23 18.79| 0.20|-07 44 56.6| 3.1|   10.56|   1.09
127.16842|+24.61269|0828.6+2436 |08 28 40.42| 0.23|+24 36 45.7| 3.2|   10.58|   1.07
243.56012| +4.09817|1614.2+0405 |16 14 14.43| 0.19|+04 05 53.4| 3.1|   10.58|   1.06
019.64104|-18.82211|0118.5-1849 |01 18 33.85| 0.21|-18 49 19.6| 3.1|   10.59|   1.09
060.80875| -2.99997|0403.2-0259 |04 03 14.10| 0.19|-02 59 59.9| 3.1|   10.60|   1.09
227.75683| +0.24314|1511.0+0014 |15 11 01.64| 0.20|+00 14 35.3| 3.1|   10.60|   1.10
003.38092|+40.85953|0013.5+4051 |00 13 31.42| 0.25|+40 51 34.3| 3.1|   10.61|   1.09
113.84171|+43.73925|0735.3+4344 |07 35 22.01| 0.27|+43 44 21.3| 3.1|   10.61|   1.09
172.22979|-29.36056|1128.9-2921 |11 28 55.15| 0.23|-29 21 38.0| 3.3|   10.61|   1.10
216.95925|+54.40431|1427.8+5424 |14 27 50.22| 0.33|+54 24 15.5| 3.1|   10.62|   1.09
184.37021| +3.61006|1217.4+0336 |12 17 28.85| 0.20|+03 36 36.2| 3.1|   10.63|   1.10
209.18754|+32.33036|1356.7+3219 |13 56 45.01| 0.24|+32 19 49.3| 3.3|   10.64|   1.11
043.49683|+20.24814|0253.9+2014 |02 53 59.24| 0.21|+20 14 53.3| 3.1|   10.65|   1.10
075.46367|-12.10778|0501.8-1206 |05 01 51.28| 0.20|-12 06 28.0| 3.0|   10.65|   1.07
135.27304|+29.02906|0901.0+2901 |09 01 05.53| 0.22|+29 01 44.6| 3.1|   10.65|   1.07
178.26342|+11.12261|1153.0+1107 |11 53 03.22| 0.20|+11 07 21.4| 3.1|   10.65|   1.07
294.88933|+63.75806|1939.5+6345 |19 39 33.44| 0.43|+63 45 29.0| 3.1|   10.66|   1.07
123.24937|+32.71522|0812.9+3242 |08 12 59.85| 0.23|+32 42 54.8| 3.1|   10.67|   1.09
134.29837| -3.66200|0857.1-0339 |08 57 11.61| 0.20|-03 39 43.2| 3.1|   10.67|   1.09
151.50779|+34.90281|1006.0+3454 |10 06 01.87| 0.24|+34 54 10.1| 3.1|   10.67|   1.10
194.82229| -8.10183|1259.2-0806 |12 59 17.35| 0.20|-08 06 06.6| 3.1|   10.68|   1.10
231.90013| -4.54572|1527.6-0432 |15 27 36.03| 0.20|-04 32 44.6| 3.1|   10.68|   1.11
088.33954|+31.29764|0553.3+3117 |05 53 21.49| 0.23|+31 17 51.5| 3.1|   10.69|   1.10
091.23179|+24.49806|0604.9+2429 |06 04 55.63| 0.21|+24 29 53.0| 3.1|   10.69|   1.10
221.78542|+17.79744|1447.1+1747 |14 47 08.50| 0.20|+17 47 50.8| 3.1|   10.69|   1.07
267.18442| +9.31444|1748.7+0918 |17 48 44.26| 0.20|+09 18 52.0| 3.1|   10.69|   1.07
352.94846|-24.86889|2331.7-2452 |23 31 47.63| 0.21|-24 52 08.0| 3.1|   10.69|   1.10
061.17771|+29.03828|0404.7+2902 |04 04 42.65| 0.23|+29 02 17.8| 3.1|   10.70|   1.11
179.80671|+53.88556|1159.2+5353 |11 59 13.61| 0.33|+53 53 08.0| 3.1|   10.70|   1.07
041.92950|+28.40178|0247.7+2824 |02 47 43.08| 0.22|+28 24 06.4| 3.1|   10.71|   1.10
052.58671|+45.74731|0330.3+4544 |03 30 20.81| 0.29|+45 44 50.3| 3.2|   10.71|   1.12
065.97075|+34.86208|0423.8+3451 |04 23 52.98| 0.24|+34 51 43.5| 3.2|   10.71|   1.13
244.39204|+35.03419|1617.5+3502 |16 17 34.09| 0.34|+35 02 03.1| 5.3|   10.71|   1.09
304.30400|+33.76478|2017.2+3345 |20 17 12.96| 0.25|+33 45 53.2| 3.5|   10.71|   1.18
312.27879| -6.99308|2049.1-0659 |20 49 06.91| 0.19|-06 59 35.1| 3.1|   10.71|   1.10
268.76946|+53.10906|1755.0+5306 |17 55 04.67| 0.33|+53 06 32.6| 3.1|   10.72|   1.10
099.98958|-27.76022|0639.9-2745 |06 39 57.50| 0.22|-27 45 36.8| 3.1|   10.73|   1.10
158.18504|+25.04033|1032.7+2502 |10 32 44.41| 0.22|+25 02 25.2| 3.1|   10.73|   1.11
249.73658| -3.22461|1638.9-0313 |16 38 56.78| 0.20|-03 13 28.6| 3.1|   10.73|   1.11
306.14558| -5.27544|2024.5-0516 |20 24 34.94| 0.20|-05 16 31.6| 3.1|   10.74|   1.11
001.17204|+12.82158|0004.6+1249 |00 04 41.29| 0.21|+12 49 17.7| 3.1|   10.75|   1.11
173.30412|+50.14417|1133.2+5008 |11 33 12.99| 0.30|+50 08 39.0| 3.1|   10.75|   1.10
266.52150| +7.47725|1746.0+0728 |17 46 05.16| 0.20|+07 28 38.1| 3.1|   10.75|   1.11
308.40100|+21.76931|2033.6+2146 |20 33 36.24| 0.47|+21 46 09.5| 3.9|   10.75|   1.28
033.32450|-34.22383|0213.2-3413 |02 13 17.88| 0.25|-34 13 25.8| 3.3|   10.76|   1.15
207.06246|+24.26433|1348.2+2415 |13 48 14.99| 0.21|+24 15 51.6| 3.1|   10.76|   1.08
290.86992|+22.62619|1923.4+2237 |19 23 28.78| 0.21|+22 37 34.3| 3.2|   10.76|   1.12
064.69204| -2.98750|0418.7-0259 |04 18 46.09| 0.19|-02 59 15.0| 3.1|   10.77|   1.11
101.02021|+59.92336|0644.0+5955 |06 44 04.85| 0.38|+59 55 24.1| 3.1|   10.78|   1.08
153.99458|+40.78186|1015.9+4046 |10 15 58.70| 0.30|+40 46 54.7| 3.1|   10.78|   1.11
325.87221|-18.18383|2143.4-1811 |21 43 29.33| 0.21|-18 11 01.8| 3.1|   10.78|   1.11
036.32729|+26.88447|0225.3+2653 |02 25 18.55| 0.22|+26 53 04.1| 3.1|   10.80|   1.11
063.15133|+35.59464|0412.6+3535 |04 12 36.32| 0.24|+35 35 40.7| 3.1|   10.80|   1.13
149.82896|+47.35319|0959.3+4721 |09 59 18.95| 0.28|+47 21 11.5| 3.1|   10.80|   1.08
305.32987|+27.67061|2021.3+2740 |20 21 19.17| 0.26|+27 40 14.2| 3.4|   10.80|   1.20
340.97892|+18.24592|2243.9+1814 |22 43 54.94| 0.20|+18 14 45.3| 3.1|   10.81|   1.12
155.13446|+65.85622|1020.5+6551 |10 20 32.27| 0.47|+65 51 22.4| 3.1|   10.82|   1.08
003.77633|+32.27006|0015.1+3216 |00 15 06.32| 0.23|+32 16 12.2| 3.1|   10.83|   1.09
259.34700| -2.08847|1717.3-0205 |17 17 23.28| 0.21|-02 05 18.5| 3.8|   10.83|   1.18
353.10658| -9.96703|2332.4-0958 |23 32 25.58| 0.20|-09 58 01.3| 3.1|   10.85|   1.12
047.93871|-13.19267|0311.7-1311 |03 11 45.29| 0.20|-13 11 33.6| 3.1|   10.86|   1.11
011.88925|-25.28719|0047.5-2517 |00 47 33.42| 0.27|-25 17 13.9| 3.4|   10.87|   1.12
101.43458|-15.83733|0645.7-1550 |06 45 44.30| 0.20|-15 50 14.4| 3.1|   10.87|   1.11
187.18979|-21.43742|1228.7-2126 |12 28 45.55| 0.21|-21 26 14.7| 3.1|   10.87|   1.12
207.21921|+26.59244|1348.8+2635 |13 48 52.61| 0.22|+26 35 32.8| 3.1|   10.87|   1.09
148.19075| +0.00511|0952.7+0000 |09 52 45.78| 0.20|+00 00 18.4| 3.1|   10.88|   1.13
121.69000|+48.69364|0806.7+4841 |08 06 45.60| 0.32|+48 41 37.1| 3.5|   10.89|   1.16
152.30862|-12.15825|1009.2-1209 |10 09 14.07| 0.20|-12 09 29.7| 3.1|   10.89|   1.09
132.75062|+63.72875|0851.0+6343 |08 51 00.15| 0.44|+63 43 43.5| 3.1|   10.90|   1.09
071.50217|-33.09008|0446.0-3305 |04 46 00.52| 0.25|-33 05 24.3| 3.8|   10.91|   1.18
343.49050|+16.14881|2253.9+1608 |22 53 57.72| 0.20|+16 08 55.7| 3.1|   10.91|   1.13
114.97608|-24.08111|0739.9-2404 |07 39 54.26| 0.21|-24 04 52.0| 3.1|   10.92|   1.12
141.76233|+39.04042|0927.0+3902 |09 27 02.96| 0.25|+39 02 25.5| 3.1|   10.92|   1.10
264.71333|+42.79192|1738.8+4247 |17 38 51.20| 0.26|+42 47 30.9| 3.1|   10.92|   1.13
328.03225|+49.99675|2152.1+4959 |21 52 07.74| 0.30|+49 59 48.3| 3.1|   10.93|   1.12
270.20867|+55.27789|1800.8+5516 |18 00 50.08| 0.34|+55 16 40.4| 3.1|   10.94|   1.12
291.15083|+35.34222|1924.6+3520 |19 24 36.20| 0.26|+35 20 32.0| 3.4|   10.94|   1.13
067.57608|-28.01133|0430.3-2800 |04 30 18.26| 0.22|-28 00 40.8| 3.1|   10.96|   1.12
212.50800|+31.41747|1410.0+3125 |14 10 01.92| 0.26|+31 25 02.9| 3.2|   10.96|   1.15
061.75437|-31.87092|0407.0-3152 |04 07 01.05| 0.27|-31 52 15.3| 3.2|   10.97|   1.14
063.22517| -2.37114|0412.9-0222 |04 12 54.04| 0.19|-02 22 16.1| 3.1|   10.97|   1.13
094.33800|-28.42975|0617.3-2825 |06 17 21.12| 0.22|-28 25 47.1| 3.1|   10.97|   1.12
196.21900|-32.86078|1304.8-3251 |13 04 52.56| 0.29|-32 51 38.8| 3.5|   10.97|   1.16
002.46575|+12.72836|0009.8+1243 |00 09 51.78| 0.21|+12 43 42.1| 3.2|   10.98|   1.13
